seq_no,packet_type,origin_uid,dst_addr,final_uid,created_time,delivered_time,delay,hop_count,path
3079,DATA,11,"[1,254]",18,109.217246,109.217854,0.000608,7,11->22->33->34->35->26->17->18
3080,DATA,43,"[1,254]",18,109.245442,109.245864,0.000422,5,43->34->35->26->17->18
3081,DATA,22,"[1,254]",18,109.271292,109.271788,0.000495,6,22->33->34->35->26->17->18
3082,DATA,63,"[1,254]",18,109.282648,109.283244,0.000597,7,63->54->43->34->35->26->17->18
3083,DATA,81,"[1,254]",18,109.294257,109.295303,0.001045,12,81->92->93->83->73->63->54->43->34->35->26->17->18
3084,DATA,92,"[1,254]",18,109.308630,109.309590,0.000961,11,92->93->83->73->63->54->43->34->35->26->17->18
3085,DATA,84,"[1,254]",18,109.349032,109.349978,0.000946,11,84->93->83->73->63->54->43->34->35->26->17->18
3086,DATA,14,"[1,254]",18,109.358195,109.358667,0.000472,6,14->24->34->35->26->17->18
3087,DATA,0,"[1,254]",18,109.361799,109.362570,0.000771,9,0->10->11->22->33->34->35->26->17->18
3088,DATA,11,"[1,254]",18,109.370861,109.371469,0.000608,7,11->22->33->34->35->26->17->18
3089,DATA,91,"[1,254]",18,109.411403,109.412511,0.001109,13,91->81->92->93->83->73->63->54->43->34->35->26->17->18
3090,DATA,20,"[1,254]",18,109.418052,109.418831,0.000779,9,20->10->11->22->33->34->35->26->17->18
3091,DATA,32,"[1,254]",18,109.433324,109.433929,0.000606,7,32->22->33->34->35->26->17->18
3092,DATA,90,"[1,254]",18,109.504547,109.505687,0.001139,13,90->81->92->93->83->73->63->54->43->34->35->26->17->18
3093,DATA,41,"[1,254]",18,109.517389,109.518077,0.000688,8,41->32->22->33->34->35->26->17->18
3094,DATA,12,"[1,254]",18,109.519966,109.520531,0.000565,7,12->22->33->34->35->26->17->18
3095,DATA,86,"[1,254]",18,109.520124,109.520941,0.000817,10,86->75->65->64->54->43->34->35->26->17->18
3096,DATA,54,"[1,254]",18,109.527183,109.527702,0.000519,6,54->43->34->35->26->17->18
3097,DATA,13,"[1,254]",18,109.544250,109.544806,0.000555,7,13->22->33->34->35->26->17->18
